app,review_text,clean_text,rating,date,helpful_votes,word_count,is_freshness_related,dominant_topic,theme,month
blinkit,"Extremely disappointing! Blinkit repeatedly sends expired/nearly expired food items. When I refused such products, the delivery boy forcibly handed them over and marked the order delivered. A Hashwow 24-in-1 screwdriver set was defective and not as advertised—the bits don’t fit the socket and the magnetic features barely work. Despite photos/videos, Blinkit refused return, refund, callback or escalation, asking me to contact the manufacturer. Worst customer service—no ownership or responsibility",extremely disappointing blinkit repeatedly sends expired nearly expired food items when i refused such products the delivery boy forcibly handed them over and marked the order delivered a hashwow 24 in 1 screwdriver set was defective and not as advertised the bits don t fit the socket and the magnetic features barely work despite photos videos blinkit refused return refund callback or escalation asking me to contact the manufacturer worst customer service no ownership or responsibility,1,2026-08-17 08:58:15,0,69,TRUE,1,Expired Packaged Goods,2026-08
blinkit,poor they are selling poor quality spoilt and expired products. they don't get them exchanged or picked up purposely,poor they are selling poor quality spoilt and expired products they don t get them exchanged or picked up purposely,1,2026-08-17 08:45:02,0,19,TRUE,1,Expired Packaged Goods,2026-08
blinkit,"bad , the chips that I ordered were totally crushed in the packet and the packet itself was deflated",bad the chips that i ordered were totally crushed in the packet and the packet itself was deflated,1,2026-08-17 08:23:11,0,19,TRUE,7,Dairy/Perishable Spoilage,2026-08
blinkit,"Very Disappointing Service I am extremely disappointed with the service I received from Blinkit. As a first-time customer, I expected a much better experience, but unfortunately, the product was delivered in a very poor condition. If there were an option to upload pictures along with the complaint, I would definitely share them so that the actual condition of the delivered product could be seen and understood. This is really not the kind of service I expected from Blinkit,",very disappointing service i am extremely disappointed with the service i received from blinkit as a first time customer i expected a much better experience but unfortunately the product was delivered in a very poor condition if there were an option to upload pictures along with the complaint i would definitely share them so that the actual condition of the delivered product could be seen and understood this is really not the kind of service i expected from blinkit,1,2026-08-17 08:16:52,0,78,TRUE,2,Damaged + Refund Friction,2026-08
blinkit,Blinkit dies not exchange wrong items too.,blinkit dies not exchange wrong items too,1,2026-08-17 07:11:59,0,7,TRUE,3,Wrong/Missing/Rotten Items,2026-08
blinkit,some products are not in good quality they can't replace them ... every time they apply handling chrge .. some time surge not happening but they add surge chrge and don't pay their apply ...,some products are not in good quality they can t replace them every time they apply handling chrge some time surge not happening but they add surge chrge and don t pay their apply,2,2026-08-17 07:10:15,0,35,TRUE,5,Expired/Damaged Products (general),2026-08
blinkit,"Always received damaged products. No way to resolve the issue as the virtual assistant in incompetent. No customer care no. is provided so that the customer can speak to the executive and resolve the issue. Neither any executive calls back to get the things done quickly. The whole purpose of ordering the products through this app is defeated, when the required product in is not received in good condition for timely use. No option for writing the questions or problems for virtual assistant.",always received damaged products no way to resolve the issue as the virtual assistant in incompetent no customer care no is provided so that the customer can speak to the executive and resolve the issue neither any executive calls back to get the things done quickly the whole purpose of ordering the products through this app is defeated when the required product in is not received in good condition for timely use no option for writing the questions or problems for virtual assistant,1,2026-08-17 05:30:08,0,83,TRUE,5,Expired/Damaged Products (general),2026-08
blinkit,bahut hi kharab hai per har Saman mahanga hai aur kuchh item expiry date ke a jaate Hain kuchh Saman order karo vah nahin hota fir bhi radd kar dete Hain,bahut hi kharab hai per har saman mahanga hai aur kuchh item expiry date ke a jaate hain kuchh saman order karo vah nahin hota fir bhi radd kar dete hain,1,2026-08-17 04:52:26,0,31,TRUE,7,Dairy/Perishable Spoilage,2026-08
blinkit,"maine order kiya tha abhi umbrella bahot low quality ki hai maine road se 100rs ka umbrella liya tha 1 month pahele vo umbrella bhi isse bahot achhi quality ka majbut tha, kapda bahot patla hai waste of money ho gya 👎👎 wholesale market me 60rs se 70rs tak mil jata hai aaplog kamao looto logo ki lekin itna bhi mat looto ke log aapse trust hata ke or kaihise order kare aaplog se na mangvaye👎👎👎",maine order kiya tha abhi umbrella bahot low quality ki hai maine road se 100rs ka umbrella liya tha 1 month pahele vo umbrella bhi isse bahot achhi quality ka majbut tha kapda bahot patla hai waste of money ho gya wholesale market me 60rs se 70rs tak mil jata hai aaplog kamao looto logo ki lekin itna bhi mat looto ke log aapse trust hata ke or kaihise order kare aaplog se na mangvaye,1,2026-08-17 04:34:48,0,76,TRUE,6,Wrong Item + Refund,2026-08
blinkit,expired items received the store needs to be sued,expired items received the store needs to be sued,1,2026-08-17 04:12:31,0,9,TRUE,3,Wrong/Missing/Rotten Items,2026-08
blinkit,"⚠️ Very serious food-safety concern with Blinkit. I ordered frozen matar and paneer, consumed them after cooking, and later developed a serious health condition involving my liver and pancreas. I’m also concerned about reports of FSSAI inspections involving alleged hygiene issues, expired products and relabelling at warehouses. Food safety is not something to compromise on for fast delivery. After my experience, I personally won’t buy frozen or perishable food from Blinkit again,",very serious food safety concern with blinkit i ordered frozen matar and paneer consumed them after cooking and later developed a serious health condition involving my liver and pancreas i m also concerned about reports of fssai inspections involving alleged hygiene issues expired products and relabelling at warehouses food safety is not something to compromise on for fast delivery after my experience i personally won t buy frozen or perishable food from blinkit again,1,2026-08-17 02:51:53,0,72,TRUE,1,Expired Packaged Goods,2026-08
blinkit,poor quality of all things don't buy anything in this app,poor quality of all things don t buy anything in this app,1,2026-08-16 20:32:57,0,11,TRUE,4,Produce Spoilage,2026-08
blinkit,"Earlier, things were fine, but now they seem to have hired almost anyone as a delivery partner. It feels like all they care about is making money, regardless of the quality of their delivery partners. That’s why I’ve shifted to Instamart now. I’ll try other options as well.",earlier things were fine but now they seem to have hired almost anyone as a delivery partner it feels like all they care about is making money regardless of the quality of their delivery partners that s why i ve shifted to instamart now i ll try other options as well,1,2026-08-16 19:15:51,0,48,TRUE,0,Support/Complaint Friction,2026-08
blinkit,Sade hue pyaj fungus Lage hue black colour ke iske side effect Hai body mein yah khane layak nahin Hai ab return bhi karo to mujhe naya order naya lagana padega khana banane ke liye ek ghanta aur vate karna padega yah to bekar services Hui,sade hue pyaj fungus lage hue black colour ke iske side effect hai body mein yah khane layak nahin hai ab return bhi karo to mujhe naya order naya lagana padega khana banane ke liye ek ghanta aur vate karna padega yah to bekar services hui,1,2026-08-16 16:59:14,0,46,TRUE,6,Wrong Item + Refund,2026-08
blinkit,they gave us spoiled milk,they gave us spoiled milk,1,2026-08-16 16:31:49,0,5,TRUE,7,Dairy/Perishable Spoilage,2026-08
blinkit,this app is disgusting don't buy anything from this app all are fraud people they delivered rotten product everytime and all their refund policy is disgusting,this app is disgusting don t buy anything from this app all are fraud people they delivered rotten product everytime and all their refund policy is disgusting,1,2026-08-16 15:40:00,0,26,TRUE,4,Produce Spoilage,2026-08
blinkit,They can't provide resolutions to damaged products sold by them.,they can t provide resolutions to damaged products sold by them,1,2026-08-16 15:03:11,0,10,TRUE,5,Expired/Damaged Products (general),2026-08
blinkit,Today I placed an order of a bottle of shampoo and it was totally leaked and more than half bottle is empty. I requested to change the order or to refund the payment. but they didn't took any step for us. From today onwards I'm not going to purchase any item from blinkit ever and I will recomment my all known as well not to buy anything from blinkit. Totally worst service.,today i placed an order of a bottle of shampoo and it was totally leaked and more than half bottle is empty i requested to change the order or to refund the payment but they didn t took any step for us from today onwards i m not going to purchase any item from blinkit ever and i will recomment my all known as well not to buy anything from blinkit totally worst service,1,2026-08-16 15:01:10,0,72,TRUE,6,Wrong Item + Refund,2026-08
blinkit,third class app. Selling expired stuff. Pls shut down this app.,third class app selling expired stuff pls shut down this app,1,2026-08-16 14:21:58,0,11,TRUE,1,Expired Packaged Goods,2026-08
